Invoice Number,Payment Method,Payment Date,Sales person,Dynamic Data Masking,Email,,,,,,,,
INV-76554,ACH Transfer,13-Apr-24,SalesPerson 1,INV-7XXXXX,def@gmail.com,,,,,,,,
INV-70354,Wire Transfer,20-Apr-24,SalesPerson 1,INV-7XXXXX,def@gmail.com,,,,,,,,
INV-79205,Credit Card,24-Apr-24,SalesPerson 1,INV-7XXXXX,def@gmail.com,,,,,,,,
INV-58855,ACH Transfer,8-Apr-24,SalesPerson 1,INV-7XXXXX,def@gmail.com,,,,,,,,
INV-56380,ACH Transfer,1-May-24,SalesPerson 1,INV-7XXXXX,def@gmail.com,,,,,,,,Dynamic Data Masking
INV-19166,ACH Transfer,14-Apr-24,SalesPerson 1,INV-7XXXXX,def@gmail.com,,,,,,,,RLS
INV-43043,ACH Transfer,13-Apr-24,SalesPerson 1,INV-7XXXXX,def@gmail.com,,,,,,,,OLS
INV-37978,ACH Transfer,14-Apr-24,SalesPerson 1,INV-7XXXXX,def@gmail.com,,,,,,,,CLS
INV-78456,Wire Transfer,21-Apr-24,SalesPerson 1,INV-7XXXXX,def@gmail.com,,,,,,,,
INV-81166,Check,11-Apr-24,SalesPerson 1,INV-7XXXXX,def@gmail.com,,,,,,,,
INV-87098,Credit Card,21-Apr-24,SalesPerson 1,INV-7XXXXX,def@gmail.com,,,,,,,,
INV-58688,Credit Card,16-Apr-24,SalesPerson 1,INV-7XXXXX,def@gmail.com,,,,,,,,
INV-16466,Credit Card,19-Apr-24,SalesPerson 1,INV-7XXXXX,def@gmail.com,,,,,,,,
INV-61049,Credit Card,8-Apr-24,SalesPerson 1,INV-7XXXXX,def@gmail.com,,,,,,,,
INV-95015,Check,19-Apr-24,SalesPerson 1,INV-7XXXXX,def@gmail.com,,,,,,,,
INV-16610,ACH Transfer,15-Apr-24,SalesPerson 2,INV-7XXXXX,abc@123.com,,,,,,,,
INV-82442,Wire Transfer,15-Apr-24,SalesPerson 2,,abc@123.com,,,,,,,,
INV-15908,ACH Transfer,13-Apr-24,SalesPerson 2,,abc@123.com,,,,,,,,
INV-50276,ACH Transfer,14-Apr-24,SalesPerson 2,,abc@123.com,,,,,,,,
INV-16248,Credit Card,30-Apr-24,SalesPerson 2,,abc@123.com,,,,,,,,
INV-56919,Credit Card,22-Apr-24,SalesPerson 2,,abc@123.com,,,,,,,,
INV-40469,ACH Transfer,18-Apr-24,SalesPerson 3,,456@abc.com,,,,,,,,
INV-15064,Credit Card,14-Apr-24,SalesPerson 3,,456@abc.com,,,,,,,,
INV-60915,Credit Card,3-May-24,SalesPerson 3,,456@abc.com,,,,,,,,
INV-17385,Credit Card,11-Apr-24,SalesPerson 3,,456@abc.com,,,,,,,,
INV-65671,Check,20-Apr-24,SalesPerson 1,,,,,,,,,,
INV-21722,Check,18-Apr-24,SalesPerson 1,,,,,,,,,,
INV-91039,Wire Transfer,24-Apr-24,,,,,,,,,,,
INV-23562,Check,19-Apr-24,,,,,,,,,,,
INV-74141,ACH Transfer,10-Apr-24,,,,,,,,,,,
INV-84184,ACH Transfer,19-Apr-24,,,,,,,,,,,
INV-87777,ACH Transfer,16-Apr-24,,,,,,,,,,,
INV-38439,Wire Transfer,14-Apr-24,,,,,,,,,,,
INV-91055,Credit Card,27-Apr-24,,,,,,,,,,,
INV-44999,Credit Card,18-Apr-24,,,,,,,,,,,
INV-24567,ACH Transfer,1-May-24,,,,,,,,,,,
INV-10320,ACH Transfer,24-Apr-24,,,,,,,,,,,
INV-13297,ACH Transfer,24-Apr-24,,,,,,,,,,,
INV-72281,ACH Transfer,2-May-24,,,,,,,,,,,
INV-16506,Wire Transfer,19-Apr-24,,,,,,,,,,,
INV-52841,Credit Card,4-May-24,,,,,,,,,,,
INV-15798,ACH Transfer,3-May-24,,,,,,,,,,,
INV-45118,Credit Card,20-Apr-24,,,,,,,,,,,
INV-17662,ACH Transfer,30-Apr-24,,,,,,,,,,,
INV-36066,Check,13-Apr-24,,,,,,,,,,,
INV-48655,Wire Transfer,27-Apr-24,,,,,,,,,,,
INV-15726,Credit Card,14-Apr-24,,,,,,,,,,,
INV-14184,Wire Transfer,14-Apr-24,,,,,,,,,,,
INV-94419,ACH Transfer,9-Apr-24,,,,,,,,,,,
INV-60681,ACH Transfer,20-Apr-24,,,,,,,,,,,
INV-75853,ACH Transfer,17-Apr-24,,,,,,,,,,,
INV-70966,Wire Transfer,8-Apr-24,,,,,,,,,,,
INV-42288,Check,29-Apr-24,,,,,,,,,,,
INV-52809,ACH Transfer,1-May-24,,,,,,,,,,,
INV-98894,Credit Card,25-Apr-24,,,,,,,,,,,
INV-73260,Wire Transfer,14-Apr-24,,,,,,,,,,,
INV-42087,Credit Card,19-Apr-24,,,,,,,,,,,
INV-59417,Wire Transfer,17-Apr-24,,,,,,,,,,,
INV-11079,Wire Transfer,16-Apr-24,,,,,,,,,,,
INV-85917,Wire Transfer,12-Apr-24,,,,,,,,,,,
INV-65334,Wire Transfer,15-Apr-24,,,,,,,,,,,
INV-61580,Wire Transfer,11-Apr-24,,,,,,,,,,,
INV-62984,Wire Transfer,7-Apr-24,,,,,,,,,,,
INV-43050,Credit Card,29-Apr-24,,,,,,,,,,,
INV-49314,Credit Card,17-Apr-24,,,,,,,,,,,
INV-40527,Credit Card,13-Apr-24,,,,,,,,,,,
INV-63063,Wire Transfer,1-May-24,,,,,,,,,,,
INV-80570,Wire Transfer,15-Apr-24,,,,,,,,,,,
INV-97673,ACH Transfer,19-Apr-24,,,,,,,,,,,
INV-41491,Wire Transfer,19-Apr-24,,,,,,,,,,,
INV-64898,Check,11-Apr-24,,,,,,,,,,,
INV-50228,Credit Card,7-Apr-24,,,,,,,,,,,
INV-72612,Wire Transfer,24-Apr-24,,,,,,,,,,,
INV-75859,Check,30-Apr-24,,,,,,,,,,,
INV-67021,Check,16-Apr-24,,,,,,,,,,,
INV-36154,ACH Transfer,23-Apr-24,,,,,,,,,,,
INV-64245,Credit Card,30-Apr-24,,,,,,,,,,,
INV-39469,Credit Card,6-May-24,,,,,,,,,,,
INV-41400,Wire Transfer,20-Apr-24,,,,,,,,,,,
INV-43780,ACH Transfer,21-Apr-24,,,,,,,,,,,
INV-46592,Check,16-Apr-24,,,,,,,,,,,
INV-82832,ACH Transfer,2-May-24,,,,,,,,,,,
INV-84976,Wire Transfer,10-Apr-24,,,,,,,,,,,
INV-11601,Wire Transfer,5-May-24,,,,,,,,,,,
INV-96210,Wire Transfer,21-Apr-24,,,,,,,,,,,
INV-41333,Check,2-May-24,,,,,,,,,,,
INV-97960,Wire Transfer,6-May-24,,,,,,,,,,,
INV-56508,Credit Card,15-Apr-24,,,,,,,,,,,
INV-33677,Check,21-Apr-24,,,,,,,,,,,
INV-52182,Check,3-May-24,,,,,,,,,,,
INV-81319,Check,22-Apr-24,,,,,,,,,,,
INV-90392,ACH Transfer,20-Apr-24,,,,,,,,,,,
INV-24274,Credit Card,21-Apr-24,,,,,,,,,,,
INV-37564,ACH Transfer,8-Apr-24,,,,,,,,,,,
INV-83078,Check,19-Apr-24,,,,,,,,,,,
INV-91004,Check,10-Apr-24,,,,,,,,,,,
INV-86350,ACH Transfer,8-Apr-24,,,,,,,,,,,
INV-80816,Wire Transfer,22-Apr-24,,,,,,,,,,,
INV-36818,Check,11-Apr-24,,,,,,,,,,,
INV-44335,Check,2-May-24,,,,,,,,,,,
INV-73957,Credit Card,27-Apr-24,,,,,,,,,,,
INV-75685,ACH Transfer,23-Apr-24,,,,,,,,,,,
INV-58402,Check,7-Apr-24,,,,,,,,,,,
INV-67471,ACH Transfer,27-Apr-24,,,,,,,,,,,
INV-70018,Credit Card,25-Apr-24,,,,,,,,,,,
INV-47195,Credit Card,30-Apr-24,,,,,,,,,,,
INV-15244,Credit Card,4-May-24,,,,,,,,,,,
INV-67391,Wire Transfer,7-Apr-24,,,,,,,,,,,
INV-91966,Wire Transfer,14-Apr-24,,,,,,,,,,,
INV-34617,Wire Transfer,16-Apr-24,,,,,,,,,,,
INV-25041,ACH Transfer,20-Apr-24,,,,,,,,,,,
INV-75090,ACH Transfer,2-May-24,,,,,,,,,,,
INV-12152,Credit Card,10-Apr-24,,,,,,,,,,,
INV-74814,ACH Transfer,10-Apr-24,,,,,,,,,,,
INV-79929,Check,14-Apr-24,,,,,,,,,,,
INV-36817,Check,24-Apr-24,,,,,,,,,,,
INV-36775,Credit Card,5-May-24,,,,,,,,,,,
INV-29052,Wire Transfer,25-Apr-24,,,,,,,,,,,
INV-41068,ACH Transfer,10-Apr-24,,,,,,,,,,,
INV-28340,ACH Transfer,15-Apr-24,,,,,,,,,,,
INV-66684,Wire Transfer,6-May-24,,,,,,,,,,,
INV-53506,Credit Card,18-Apr-24,,,,,,,,,,,
INV-18904,Wire Transfer,12-Apr-24,,,,,,,,,,,
INV-97836,ACH Transfer,15-Apr-24,,,,,,,,,,,
INV-31695,Wire Transfer,5-May-24,,,,,,,,,,,
INV-11189,Check,24-Apr-24,,,,,,,,,,,
INV-23661,ACH Transfer,1-May-24,,,,,,,,,,,
INV-31908,ACH Transfer,3-May-24,,,,,,,,,,,
INV-80213,ACH Transfer,11-Apr-24,,,,,,,,,,,
INV-78393,Credit Card,27-Apr-24,,,,,,,,,,,
INV-45105,Check,17-Apr-24,,,,,,,,,,,
INV-19552,ACH Transfer,4-May-24,,,,,,,,,,,
INV-60490,Credit Card,2-May-24,,,,,,,,,,,
INV-57451,Credit Card,9-Apr-24,,,,,,,,,,,
INV-20811,ACH Transfer,4-May-24,,,,,,,,,,,
INV-52662,Check,11-Apr-24,,,,,,,,,,,
INV-53194,Credit Card,22-Apr-24,,,,,,,,,,,
INV-12687,Wire Transfer,18-Apr-24,,,,,,,,,,,
INV-61072,ACH Transfer,17-Apr-24,,,,,,,,,,,
INV-94044,ACH Transfer,14-Apr-24,,,,,,,,,,,
INV-18872,Credit Card,29-Apr-24,,,,,,,,,,,
INV-80011,Credit Card,12-Apr-24,,,,,,,,,,,
INV-83867,Credit Card,25-Apr-24,,,,,,,,,,,
INV-67534,Check,22-Apr-24,,,,,,,,,,,
INV-92382,Check,13-Apr-24,,,,,,,,,,,
INV-98668,Credit Card,25-Apr-24,,,,,,,,,,,
INV-31579,Check,25-Apr-24,,,,,,,,,,,
INV-24408,Credit Card,17-Apr-24,,,,,,,,,,,
INV-32546,Wire Transfer,14-Apr-24,,,,,,,,,,,
INV-28963,Check,13-Apr-24,,,,,,,,,,,
INV-17979,Credit Card,4-May-24,,,,,,,,,,,
